,ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency
63,IE00B1FZSF77,ISHARES US PROPERTY YIELD UCITS ETF,IUSP:MILANO,ETF,"0,40%",Distributing,EUR
64,IE00B1TXK627,ISHARES GLOBAL WATER UCITS ETF USD DIST,IH2O:MILANO,ETF,"0,65%",Distributing,EUR
65,IE00B1TXLS18,ISHARES UK PROPERTY UCITS ETF GBP DIST,IUKP:MILANO,ETF,"0,40%",Distributing,EUR
66,IE00B1W57M07,ISHARES BRIC 50 UCITS ETF USD DIST,BR50:MILANO,ETF,"0,74%",Distributing,EUR
67,IE00B1XNH568,ISHARES FTSE MIB UCITS ETF EUR DIST,IMIB:MILANO,ETF,"0,35%",Distributing,EUR
68,IE00B1XNHC34,ISHARES GLOBAL CLEAN ENERGY UCITS ETF,INRG:MILANO,ETF,"0,65%",Distributing,EUR
69,IE00B1YZSC51,ISHARESCOREMSCIEUROPE UCITS ETF,IMEU:MILANO,ETF,"0,12%",Distributing,EUR
70,IE00B23D8S39,INVESCO FTSE RAFI US 1000 UCITS ETF,PFT:MILANO,ETF,"0,39%",Distributing,EUR
71,IE00B23D8X81,INVESCO FTSE RAFI EUROPE UCITS ETF,PEF:MILANO,ETF,"0,50%",Distributing,EUR
72,IE00B23D9570,INVESCO FTSE RAFI EM MKTS UCITS ETF,PEH:MILANO,ETF,"0,65%",Distributing,EUR
73,IE00B27YCK28,ISHARES MSCI EM LAT AMER UCITS ETF DIST,LTAM:MILANO,ETF,"0,74%",Distributing,EUR
74,IE00B3B8Q275,ISHARES EU COVERED BOND UCITS ETF DIST,ICOV:MILANO,ETF,"0,20%",Distributing,EUR
75,IE00B3BPCH51,INVESCO EURO CASH 3 MONTHS UCITS ETF,PEU:MILANO,ETF,"0,15%",Accumulating,EUR
76,IE00B3CNHG25,L&G GOLD MINING UCITS ETF UCITS ETF,AUCO:MILANO,ETF,"0,65%",Accumulating,EUR
77,IE00B3CNHJ55,RUSSELL 2000 US SMALL CAP QUA UCITS ETF,RTWO:MILANO,ETF,"0,30%",Accumulating,EUR
78,LU0252633754,LYXOR DAX (DR) UCITS ETF - ACC,DAXX:MILANO,ETF,"0,15%",Accumulating,EUR
79,LU0252634307,LYXOR DAILY LEVDAX UCITS ETF - ACC,DAXLEV:MILANO,STRUCTURED ETF,"0,35%",Accumulating,EUR
80,LU0274208692,XTRACKERS MSCI WORLD SWAP UCITS ETF,XMWO:MILANO,ETF,"0,45%",Accumulating,EUR
81,LU0274209237,XTRACKERS MSCI EUROPE UCITS ETF,XMEU:MILANO,ETF,"0,30%",Accumulating,EUR
82,LU0274209740,XTRACKERS MSCI JAPAN UCITS ETF 1C,XMJP:MILANO,ETF,"0,20%",Accumulating,EUR
83,LU0274210672,XTRACKERS MSCI USA SWAP UCITS ETF,XMUS:MILANO,ETF,"0,15%",Accumulating,EUR
84,LU0274211217,XTRACKERS EURO STOXX 50 UCITS ETF 1D,XESX:MILANO,ETF,"0,09%",Distributing,EUR
85,LU0274212538,XTRACKERS FTSE MIB UCITS ETF,XMIB:MILANO,ETF,"0,30%",Distributing,EUR
86,LU0274221281,XTRACKERS SWITZERLAND UCITS ETF,XSMI:MILANO,ETF,"0,30%",Distributing,EUR
87,LU0290355717,XTRACKERS II EUROZ GOVT UCITS ETF 1C,XGLE:MILANO,ETF,"0,15%",Accumulating,EUR
88,LU0290356871,XTRACKERS II EUROZ GOVT 1-3 UCITS ETF,X13E:MILANO,ETF,"0,15%",Accumulating,EUR
89,LU0290356954,XTRACKERS II EUROZ GOVT 3-5 UCITS ETF,X35E:MILANO,ETF,"0,15%",Accumulating,EUR
90,LU0290357176,XTRACKERS II EUROZ GOVT 5-7 UCITS ETF,X57E:MILANO,ETF,"0,15%",Accumulating,EUR
91,LU0290357259,XTRACKERS II EUROZ GOVT 7-10 UCITS ETF,X710:MILANO,ETF,"0,15%",Accumulating,EUR
92,LU0290357507,XTRACKERS II EUROZ GOVT 15-30 UCITS ETF,X15E:MILANO,ETF,"0,15%",Accumulating,EUR
93,LU0290357846,XTRACKERS II EUROZ GOVT 25+ UCITS ETF,X25E:MILANO,ETF,"0,15%",Accumulating,EUR
94,LU0290357929,XTRACKERS II GL INF-LINK EUR H UCITS ETF,XGIN:MILANO,ETF,"0,25%",Accumulating,EUR
95,LU0290358224,XTRACKERS II EUROZ INFL-LINK UCITS ETF,XEIN:MILANO,ETF,"0,20%",Accumulating,EUR
96,LU0290358497,XTRACKERS II EUR OVNI RATE SWA UCITS ETF,XEON:MILANO,ETF,"0,05%",Accumulating,EUR
97,LU0290359032,XTRAC II ITR CROSSOV DAY SWAP UCITS ETF,XTXC:MILANO,ETF,"0,24%",Accumulating,EUR
98,LU0292095535,XTRACKERS EUSTX QUALITY DIVID UCITS ETF,XD3E:MILANO,ETF,"0,30%",Distributing,EUR
99,LU0292096186,XTRACK STX GL SEL DIV 100 SWAP UCITS ETF,XGSD:MILANO,ETF,"0,50%",Distributing,EUR
100,LU0292100046,XTRACKERS MSCI KOREA UCITS ETF,XMKO:MILANO,ETF,"0,65%",Accumulating,EUR
101,LU0292106167,XTRACK BLOOM EX AGRI LIVEST SW UCITS ETF,XDBC:MILANO,ETF,"0,39%",Accumulating,EUR
102,LU0292106241,XTRACKERS SHORTDAX DAILY SWAP UCITS ETF,XSDX:MILANO,STRUCTURED ETF,"0,40%",Accumulating,EUR
103,LU0292106753,XTRACK EUSTX 50 SHT DAILY SWAP UCITS ETF,XSSX:MILANO,STRUCTURED ETF,"0,40%",Accumulating,EUR
104,LU0292107645,XTRACKERS MSCI EMERG MKTS SWAP UCITS ETF,XMEM:MILANO,ETF,"0,65%",Accumulating,EUR
105,LU0292107991,XTR MSCI EM ASIA ESG SCREEN SW UCITS ETF,XMAS:MILANO,ETF,"0,65%",Accumulating,EUR
106,LU0292109005,XTRACKERS MSCI EM EMEA ESG SW UCITS ETF,XMEA:MILANO,ETF,"0,65%",Accumulating,EUR
107,LU0292109344,XTRACKERS MSCI BRAZIL UCITS ETF,XMBR:MILANO,ETF,"0,65%",Accumulating,EUR
108,LU0292109690,XTRACKERS NIFTY 50 SWAP UCITS ETF,XNIF:MILANO,ETF,"0,85%",Accumulating,EUR
109,LU0292109856,XTRACKERS FTSE CHINA 50 UCITS ETF,XX25:MILANO,ETF,"0,60%",Accumulating,EUR
110,LU0321462870,XTRAC II ITR CROSS SH DAY SWAP UCITS ETF,XTC5:MILANO,ETF,"0,24%",Accumulating,EUR
111,LU0321462953,XTRACKERS II EM BOND EUR H C UCITS ETF,XEMB:MILANO,ETF,"0,40%",Accumulating,EUR
112,LU0321464652,XTRACKERS II GBP OVNI RATE SWA UCITS ETF,XSTR:MILANO,ETF,"0,15%",Distributing,EUR
113,LU0321465469,XTRACKERS II USD OVNI RATE SWA UCITS ETF,XFFE:MILANO,ETF,"0,15%",Accumulating,EUR
114,LU0322250712,XTRACKERS LPX PRIVATE EQ SWAP UCITS ETF,XLPE:MILANO,ETF,"0,70%",Accumulating,EUR
115,LU0322251520,XTRACKERS S&P500 INV DAY SWAP UCITS ETF,XSPS:MILANO,STRUCTURED ETF,"0,50%",Accumulating,EUR
116,LU0322252171,XTR MSCI ACASIA EXJPN ESG SWAP UCITS ETF,XAXJ:MILANO,ETF,"0,65%",Accumulating,EUR
117,LU0322252338,XTR MSCIPACIFICEXJAPANESGSCREE UCITS ETF,XPXJ:MILANO,ETF,"0,25%",Accumulating,EUR
118,LU0322252924,XTRACKERS FTSE VIETNAM SWAP UCITS ETF,XFVT:MILANO,ETF,"0,85%",Accumulating,EUR
119,LU0322253229,XTRACKERS S&P GLOB INFRAS SWAP UCITS ETF,XSGI:MILANO,ETF,"0,60%",Accumulating,EUR
120,LU0322253906,XTRACKERS MSCI EU SMALLCAP UCITS ETF DR,XXSC:MILANO,ETF,"0,40%",Accumulating,EUR
