,ISIN,Name,Symbol,Type,TER,Dividendi,Trading Currency
1049,IE00BMVB5Q68,VANGUARD LIFESTRATEG 60% EQU UCITS ETF D,VNGD60:MILANO,ACTIVE ETF,"0,25%",Distributing,EUR
1050,IE00BMVB5P51,VANGUARD LIFESTRATEG 60% EQU UCITS ETF A,VNGA60:MILANO,ACTIVE ETF,"0,25%",Accumulating,EUR
1051,IE00BMVB5S82,VANGUARD LIFESTRATEG 80% EQU UCITS ETF D,VNGD80:MILANO,ACTIVE ETF,"0,25%",Distributing,EUR
1052,IE00BMVB5R75,VANGUARD LIFESTRATEG 80% EQU UCITS ETF A,VNGA80:MILANO,ACTIVE ETF,"0,25%",Accumulating,EUR
1053,IE00BNC1F287,CLIMA GLB DECARBONIS ENABLERS UCITS ETF,CLMA:MILANO,ETF,"0,65%",Accumulating,EUR
1054,IE00BMWXKN31,HSBC HANG SENG TECH UCITS ETF,HSTE:MILANO,ETF,"0,50%",Accumulating,EUR
1055,IE00BFXR7900,KRANESHARES CSI CHINA INTERNET UCITS ETF,KWBE:MILANO,ETF,"0,75%",Accumulating,EUR
1056,IE00BYVTMZ20,INVESCO US HY FALLEN ANG UCITS ETF EUR H,FAEU:MILANO,ETF,"0,50%",Accumulating,EUR
1057,FR0010342592,LYXOR NASDAQ-100 DAILY 2X LEV UCITS ETF,LQQ:MILANO,STRUCTURED ETF,"0,60%",Accumulating,EUR
1058,IE00BLRPRF81,L&G ESG EMER MARK COR BOND USD UCITS ETF,EMUS:MILANO,ETF,"0,35%",Distributing,EUR
1059,IE00BLRPRD67,L&G ESG USD CORPORATE BOND UCITS ETF,USDC:MILANO,ETF,"0,09%",Distributing,EUR
1060,LU2200146228,LYXOR MSCI EM. MARKETS ACC UCITS ETF,LEMA:MILANO,ETF,"0,14%",Accumulating,EUR
1061,IE00BLPK3577,WISDOMTREE CYBERSECURITY UCITS ETF,WCBR:MILANO,ETF,"0,45%",Accumulating,EUR
1062,IE00BNC1G699,XTRACKERS MSCI EMU ESG UCITS ETF,XZEZ:MILANO,ETF,"0,20%",Accumulating,EUR
1063,IE00BMFKG444,XTRACKERS NASDAQ 100 UCITS ETF,XNAS:MILANO,ETF,"0,20%",Accumulating,EUR
1064,IE00BMYDM794,L&G HYDROGEN ECONOMY UCITS ETF,HTWO:MILANO,ETF,"0,49%",Accumulating,EUR
1065,IE00BMXWRM76,WISDOMTREE EUROPEAN UNION BOND UCITS ETF,EUBO:MILANO,ETF,"0,16%",Accumulating,EUR
1066,IE00BMYDMD58,L&G ESG GREEN BOND UCITS ETF,GBND:MILANO,ETF,"0,25%",Distributing,EUR
1067,LU1954152853,LYXOR NASDAQ-100 UCITS ETF DAILY H EUR A,USTH:MILANO,ETF,"0,27%",Accumulating,EUR
1068,LU2249056297,AMUNDI MSCI WORLD SRI PAB EUH UCITS ETF,MWSH:MILANO,ETF,"0,20%",Accumulating,EUR
1069,IE00BKFB6K94,UBS MSCI CHINA A SF UCITS ETF,CHINA:MILANO,ETF,"0,30%",Accumulating,EUR
1070,IE00B1FZSD53,ISHARES INDEX-LINK GILTS UCITS ETF GBP D,INXG:MILANO,ETF,"0,10%",Distributing,EUR
1071,IE00BWTNM743,FIRST TRUST INDXX NEXTG UCITS ETF,NXTG:MILANO,ETF,"0,70%",Accumulating,EUR
1072,IE00BT9PVG14,FIRST TRUST DJ INTERN INTERNET UCITS ETF,FDNI:MILANO,ETF,"0,65%",Accumulating,EUR
1073,IE00BMYHQM42,SPDR BL EURO GOV BOND A UCITS ETF,GOVA:MILANO,ETF,"0,10%",Accumulating,EUR
1074,IE00BLSN7P11,UBS S&P 500 ESG ELITE UCITS ETF USD A,SPEL:MILANO,ETF,"0,15%",Accumulating,EUR
1075,IE00BLSN7W87,UBS S&P 500 ESG ELITE UCITS ETF EUR HD A,SPELE:MILANO,ETF,"0,20%",Accumulating,EUR
1076,IE00BN7JGL35,GLOBAL ONLINE RETAIL UCITS ETF,IBUY:MILANO,ETF,"0,69%",Accumulating,EUR
1077,IE00BN4PXC48,UBS CLIM AWARE GL DEV EQ CTB UCITS ETF A,CLIMA:MILANO,ETF,"0,19%",Accumulating,EUR
1078,IE00BMDH1538,VANECK HYDROGEN ECONOMY UCITS ETF,HDRO:MILANO,ETF,"0,55%",Accumulating,EUR
1079,LU2265794276,UBS SOLACTIVE CHINA TECH UCITS ETF USD A,CIT:MILANO,ETF,"0,47%",Accumulating,EUR
1080,LU2265794946,UBS SOLACTIVE CHINA TEC UCITS ETF EURH A,CITE:MILANO,ETF,"0,52%",Accumulating,EUR
1081,LU2206598109,UBS MSCI EUROPE SOC RES UCITS ETF EURH A,EUESRI:MILANO,ETF,"0,23%",Accumulating,EUR
1082,LU2206597804,UBS MSCI EUROPE SOC RESP UCITS ETF EUR A,EURSRI:MILANO,ETF,"0,18%",Accumulating,EUR
1083,IE00BLRB0242,INVESCO GLOBAL CLEAN ENERGY UCITS ETF A,GCLE:MILANO,ETF,"0,60%",Accumulating,EUR
1084,IE00BNG70R26,INVESCO US MUNICIPAL BOND UCITS ETF DIST,MUNI:MILANO,ETF,"0,28%",Distributing,EUR
1085,IE00BK80XL30,INVESCO MSCI CHINA ALL SHARE UCITS ETF A,MCHN:MILANO,ETF,"0,35%",Accumulating,EUR
1086,IE00BMD8KP97,INVESCO NASDAQ NEXT GEN 100 UCITS ETF A,EQQJ:MILANO,ETF,"0,25%",Accumulating,EUR
1087,LU2244386053,BNPP € HY SRI FOSSIL FREE UCITS ETF A,HYSRI:MILANO,ETF,"0,25%",Accumulating,EUR
1088,LU2244386137,BNPP € HY SRI FOSSIL FREE UCITS ETF D,HSRID:MILANO,ETF,"0,25%",Distributing,EUR
1089,LU1547515137,BNPP ESG EMBI GLB DIV COM UCITS ETF HDG,ASRD:MILANO,ETF,"0,25%",Accumulating,EUR
1090,LU2244387457,BNPP ESG EMU GOV IG 3-5Y UCITS ETF EUR,GEMU:MILANO,ETF,"0,15%",Accumulating,EUR
1091,IE00BNG8L278,VANGUARD ESG GLOBAL ALL CAP UCITS ETF AC,V3AA:MILANO,ETF,"0,24%",Accumulating,EUR
1092,IE00BNG8L385,VANGUARD ESG GLOBAL ALL CAP UCITS ETF D,V3AL:MILANO,ETF,"0,24%",Distributing,EUR
1093,IE00BN4Q0602,UBS MSCI USA CLIMATE PARIS UCITS ETF USD,USAPA:MILANO,ETF,"0,12%",Accumulating,EUR
1094,IE00BN4Q0X77,UBS MSCI JAPAN CLIMA PARIS UCITS ETF JPY,JPA:MILANO,ETF,"0,16%",Accumulating,EUR
1095,IE00BN4Q0933,UBS MSCI EUROPE CLIM PARIS UCITS ETF EUR,EURPA:MILANO,ETF,"0,18%",Accumulating,EUR
1096,IE00BN4Q0L55,UBS MSCI EMU CLIMATE PARIS UCITS ETF EUR,EMUPA:MILANO,ETF,"0,18%",Accumulating,EUR
1097,IE00BN4Q0370,UBS MSCI WORLD CLIMA PARIS UCITS ETF USD,WOPA:MILANO,ETF,"0,20%",Accumulating,EUR
1098,LU1910940268,LXR COREGLB INFLIN 1-10 UCITS ETF EURH D,GISE:MILANO,ETF,"0,20%",Distributing,EUR
1099,IE00BNGJJT35,INVESCO S&P 500 EQUAL WEIGHT UCITS ETF A,SPEQ:MILANO,ETF,"0,20%",Accumulating,EUR
1100,LU2109787122,AMUNDI MSCI WRLD ESG LEADERS UCITS ETF D,ESGWO:MILANO,ETF,"0,18%",Accumulating,EUR
1101,LU2109787635,AMUNDI MSCI EMU SRI PAB DR UCITS ETF,CMUSRI:MILANO,ETF,"0,18%",Accumulating,EUR
1102,LU2109787478,AMUNDI MSCI EUROPE ESG LEAD UCITS ETF D,EUESG:MILANO,ETF,"0,15%",Accumulating,EUR
1103,LU2130768844,AMUNDI MSCI EUROPE CLIMA TRA UCITS ETF D,LWCE:MILANO,ETF,"0,18%",Accumulating,EUR
1104,LU2098887263,AMUNDI S&P 500 ESG EUR HDG ACC UCITS ETF,S500H:MILANO,ETF,"0,28%",Accumulating,EUR
1105,LU2109787395,AMUNDI MSCI USA ESG LEADERS UCITS ETF D,ESGUSA:MILANO,ETF,"0,15%",Accumulating,EUR
1106,LU2109787551,AMUNDI MSCI EMERG ESG LEADER UCITS ETF D,EMESG:MILANO,ETF,"0,18%",Accumulating,EUR
1107,LU2240851688,AMUNDI DAX 50 ESG UCITS ETF DR,DAXESG:MILANO,ETF,"0,15%",Accumulating,EUR
1108,IE00BLNMYC90,XTRACKERS S&P 500 EQUAL WEIGHT UCITS ETF,XDEW:MILANO,ETF,"0,25%",Accumulating,EUR
1109,IE00BGV5VN51,XTRACKERS ART INTEL & BIG DATA UCITS ETF,XAIX:MILANO,ETF,"0,35%",Accumulating,EUR
1110,IE00BGV5VR99,XTRACKERS FUTURE MOBILITY UCITS ETF,XMOV:MILANO,ETF,"0,35%",Accumulating,EUR
1111,IE00BNDS1P30,VANGUARD ESG GL COR BOND UCITS ETF HDG A,V3GF:MILANO,ETF,"0,15%",Accumulating,EUR
1112,IE00BNDS1Q47,VANGUARD ESG GL COR BOND UCITS ETF HDG D,V3GE:MILANO,ETF,"0,15%",Distributing,EUR
1113,FR0014002H76,LYXOR FTSE MIB UCITS ETF - ACC,MIBA:MILANO,ETF,"0,35%",Accumulating,EUR
1114,IE00BF92J153,L&G DIGITAL PAYMENTS UCITS ETF,DPAY:MILANO,ETF,"0,49%",Accumulating,EUR
1115,FR0014002CH1,LXR MSCI WTR ESG FILT (DR) -AC UCITS ETF,WATC:MILANO,ETF,"0,60%",Accumulating,EUR
1116,FR0014002CG3,LXR MSCI NW ENRG ESG FILT ACC UCITS ETF,NRJC:MILANO,ETF,"0,60%",Accumulating,EUR
1117,LU2089238625,AMUNDI PRIME EURO CORP UCITS ETF DR EUR,ETFCRP:MILANO,ETF,"0,05%",Accumulating,EUR
1118,IE00BLDGH553,ISHARES € GOVT BOND CLIMATE UCITS ETF,SECA:MILANO,ETF,"0,09%",Accumulating,EUR
1119,IE00BZ173V67,ISHARES MSCI USA SRI UCITS ETF D EUR H,3SUR:MILANO,ETF,"0,23%",Distributing,EUR
1120,LU2099287448,LYXOR CORE JAPAN GOV DR UCITS ETF ACC,JAPB:MILANO,ETF,"0,07%",Accumulating,EUR
1121,IE00BMDKNW35,VANECK CRYPTO AND BLOCKCHAIN UCITS ETF,DAPP:MILANO,ETF,"0,65%",Accumulating,EUR
1122,IE00BF553838,ISHARES JPM ESG $ EM BOND UCITS ETF,EMSA:MILANO,ETF,"0,45%",Accumulating,EUR
1123,IE00BG5QQ390,ISHARES $ CORBOND 0-3 ESG UCITS ETF EURH,IU0E:MILANO,ETF,"0,14%",Accumulating,EUR
1124,IE00BJK55C48,ISHARES € HY CORP BOND ESG UCITS ETF,EHYA:MILANO,ETF,"0,25%",Accumulating,EUR
1125,IE00BMDBMN04,ISHARES € GREEN BOND UCITS ETF,GRON:MILANO,ETF,"0,20%",Distributing,EUR
1126,IE00BF3N7102,ISHARES $ HY CORP BOND UCITS ETF EURH,IHYE:MILANO,ETF,"0,55%",Distributing,EUR
1127,LU1799934903,LXR MSCI WRD ESG LEAD EXTRA DR UCITS ETF,WESGH:MILANO,ETF,"0,20%",Accumulating,EUR
1128,LU1940199984,LYXOR MSCI EUROPE ESG L UCITS ETF EURH A,ESGH:MILANO,ETF,"0,25%",Accumulating,EUR
1129,LU1708330318,AMUNDI IND GLOB AGG 500M DR H UCITS ETF,GAGH:MILANO,ETF,"0,10%",Accumulating,EUR
1130,LU1708330235,AMUNDI JPM GBI GLB GOV UCITS ETF D EURH,GOVH:MILANO,ETF,"0,22%",Accumulating,EUR
1131,LU2182388236,AMUNDI EURO AGG SRI UCITS ETF DR EUR,EGRI:MILANO,ETF,"0,16%",Accumulating,EUR
1132,LU2300294316,AMUNDI EURO CORP 0-1Y ESG UCITS ETF DR,ECR1:MILANO,ETF,"0,08%",Accumulating,EUR
1133,IE00BGYWFL94,VANGUARD USD CORP BOND UCITS ETF EURH A,VDCE:MILANO,ETF,"0,14%",Accumulating,EUR
1134,IE00BFMXYY33,VANGUARD FTSE JAPAN UCITS ETF EUR HED A,VJPE:MILANO,ETF,"0,20%",Accumulating,EUR
1135,IE00BMX0B631,VANGUARD USD TREAS BOND UCITS ETF EURH A,VDTE:MILANO,ETF,"0,12%",Accumulating,EUR
1136,IE00BK5BQW10,VANGUARD FTSE NORTH AMER UCITS ETF USD A,VNRA:MILANO,ETF,"0,10%",Accumulating,EUR
1137,IE00BFY0GV36,SPDR BBG SASB US CORP ESG EURH UCITS ETF,USCE:MILANO,ETF,"0,20%",Accumulating,EUR
1138,IE00BYTH5R14,SPDR S&P US DIVIDEND ARI ESG UCITS ETF D,UEDV:MILANO,ETF,"0,35%",Distributing,EUR
1139,IE00BLH3CV30,PROCURE SPACE UCITS ETF ACCUMULATING,YODA:MILANO,ETF,"0,75%",Accumulating,EUR
1140,IE00BMFNW783,THE TRAVEL UCITS ETF,TRYP:MILANO,ETF,"0,69%",Accumulating,EUR
1141,IE00BMFNWC33,SOLAR ENERGY UCITS ETF - ACCUMULATING,TANN:MILANO,ETF,"0,69%",Accumulating,EUR
1142,IE00BFD26097,FIRST TRUST IPOX EUROPE EQ OPP UCITS ETF,EFPX:MILANO,ETF,"0,65%",Accumulating,EUR
1143,IE00BN76Y761,US GLOBAL JETS UCITS ETF ACCUMULATING,JETS:MILANO,ETF,"0,65%",Accumulating,EUR
1144,FR0014003IY1,LYXOR MSCI WORLD UCITS ETF - ACC,WLDC:MILANO,ETF,"0,30%",Accumulating,EUR
1145,IE00BM8QS095,INVESCO MSCI CHINA TECH ALLS UCITS ETF A,MCHT:MILANO,ETF,"0,49%",Accumulating,EUR
1146,IE00BMYDMB35,L&G QUALIT DIV ESG ASIAC EXJAP UCITS ETF,LDAP:MILANO,ETF,"0,40%",Distributing,EUR
1147,IE00BMYDM919,L&G QUALIT DIV ESG EUROPE EXUK UCITS ETF,LDEU:MILANO,ETF,"0,25%",Distributing,EUR
1148,IE00BMGRZP89,SATURNA SUST ESG HANZERO ACC UCITS ETF,SESG:MILANO,ACTIVE ETF,"0,75%",Accumulating,EUR
1149,LU2300295396,AMUNDI ICPR EUROCORP CLIMA PAB UCITS ETF,PABC:MILANO,ETF,"0,16%",Accumulating,EUR
1150,IE00BKPJY541,KRANESHARES SSE STAR MARKET 50 UCITS ETF,KSTR:MILANO,ETF,"0,82%",Accumulating,EUR
1151,IE00BNTVVR89,AUAG ESG GOLD MINING UCITS ETF ACC,ESGO:MILANO,ETF,"0,60%",Accumulating,EUR
1152,LU1285959885,LYXOR ESG USD CORP BOND DR UCITS ETF A,USIC:MILANO,ETF,"0,14%",Accumulating,EUR
1153,LU1435356065,LYXOR ESG USD HIGH YIELD DR UCITS ETF A,USHYC:MILANO,ETF,"0,25%",Accumulating,EUR
1154,LU2346257210,LYXOR ESG EURO HIGH YIELD DR UCITS ETF A,HYC:MILANO,ETF,"0,25%",Accumulating,EUR
1155,LU2356220926,LYXOR EURO GOV GREEN BOND DR UCITS ETF,ERTH:MILANO,ETF,"0,20%",Accumulating,EUR
1156,IE00BLH3CQ86,HAN S&P GL CLEANENERGY HANZERO UCITS ETF,ZERO:MILANO,ETF,"0,55%",Accumulating,EUR
1157,IE00BLRPRR04,RIZE ENVIRONMENTAL IMPACT 100 UCITS ETF,VITA:MILANO,ETF,"0,55%",Accumulating,EUR
1158,IE00BM8QRZ79,INVESCO SOLAR ENERGY UCITS ETF ACC,SOLR:MILANO,ETF,"0,69%",Accumulating,EUR
1159,IE00BLR6Q544,GLOBAL X VIDEO GAMES & ESPORTS UCITS ETF,HERU:MILANO,ETF,"0,50%",Accumulating,EUR
1160,IE00BLR6QB00,GLOBAL X TELMED & DIGIT HEALTH UCITS ETF,EDOC:MILANO,ETF,"0,68%",Accumulating,EUR
1161,IE00BN4Q1675,UBS MSCI EMERG CLIMA PARIS UCITS ETF USD,EMPA:MILANO,ETF,"0,23%",Accumulating,EUR
1162,IE00BN4Q0P93,UBS MSCI ACWI CLIMA PARIS UCITS ETF USD,ACPA:MILANO,ETF,"0,22%",Accumulating,EUR
1163,IE00BP2C1S34,HSBC MSCI USA CLIMATE PARIS UCITS ETF,HPAU:MILANO,ETF,"0,12%",Accumulating,EUR
1164,IE00BP2C1V62,HSBC MSCI WORLD CLIMATE PARIS UCITS ETF,HPAW:MILANO,ETF,"0,18%",Accumulating,EUR
1165,IE00BP2C0316,HSBC MSCI EUROPE CLIMATE PARIS UCITS ETF,HPAE:MILANO,ETF,"0,15%",Accumulating,EUR
1166,IE00BDQZMX67,UBS MSCIACWI ESG LOWCARB UCITS ETF USD D,AWESG:MILANO,ETF,"0,25%",Distributing,EUR
1167,IE00BM9TSP27,WISDOMTREE EMER EXSTATEOWN ESG UCITS ETF,XSOE:MILANO,ETF,"0,32%",Accumulating,EUR
1168,LU1407890547,LYXOR US TREASURY 10+Y DR UCITS ETF ACC,US10C:MILANO,ETF,"0,07%",Accumulating,EUR
1169,IE00BN0YSK89,OSSIAM FOOD FOR BIODIVERSITY UCITS ETF,F4DE:MILANO,ACTIVE ETF,"0,75%",Accumulating,EUR
1170,IE00BNC0M913,UBS MSCI EMU ESG LOW CARBON UCITS ETF A,EMUESG:MILANO,ETF,"0,15%",Accumulating,EUR
1171,IE00BNC0M681,UBS MSCI EUROPE ESG LOW CARB UCITS ETF A,EURESG:MILANO,ETF,"0,12%",Accumulating,EUR
1172,IE00BNC0MD55,UBS MSCI JAPAN ESG LOWCARB UCITS ETF JPY,JPESG:MILANO,ETF,"0,17%",Accumulating,EUR
1173,IE00BNC0M350,UBS MSCI USA ESG LOW CAR UCITS ETF USD A,USESGA:MILANO,ETF,"0,12%",Accumulating,EUR
1174,IE000MCVFK47,XTRACKERS EUR CORP GREEN BOND UCITS ETF,XGBE:MILANO,ETF,"0,25%",Accumulating,EUR
1175,IE0003W9O921,XTRACKERS USD CORP GREEN BOND UCITS ETF,XGBU:MILANO,ETF,"0,25%",Accumulating,EUR
1176,LU2194449075,BNPP LOW CARBON 300 WORLD PAB UCITS ETF,LCWLD:MILANO,ETF,"0,30%",Accumulating,EUR
1177,LU2244387887,BNPP ESG GROWTH EUROPE UCITS ETF,EGRO:MILANO,ETF,"0,30%",Accumulating,EUR
1178,LU2314312849,BNP MSCI CHINA SRI 10% CAP UCITS ETF EUR,CHINE:MILANO,ETF,"0,30%",Accumulating,EUR
1179,IE00BJP5NL42,INVESCO USD HY CORP BOND ESG UCITS ETF D,UHYE:MILANO,ETF,"0,25%",Distributing,EUR
1180,LU2370241684,LYXOR CORPORATE GREEN BOND DR UCITS ETF,PLAN:MILANO,ETF,"0,20%",Accumulating,EUR
1181,IE00BKSCBX74,UBS MSCI WRD SMALLC SOCRES UCITS ETF USD,WSC:MILANO,ETF,"0,23%",Accumulating,EUR
1182,IE00BKSCC785,UBS MSCI WRD SMALL SOCRES UCITS ETF EURH,WSCE:MILANO,ETF,"0,28%",Accumulating,EUR
1183,IE00BM9TV208,UBS SP DIV ARIS ELITE ESG EURH UCITS ETF,GLDVDE:MILANO,ETF,"0,35%",Distributing,EUR
1184,IE00BFXR6159,L&G MULTI-STRATEGY ENHA COMMOD UCITS ETF,ENCO:MILANO,ETF,"0,30%",Accumulating,EUR
1185,IE00BKSBGS44,FIDELITY SUST RESEAR ENH US EQ UCITS ETF,FUSR:MILANO,ACTIVE ETF,"0,30%",Accumulating,EUR
1186,IE00BKSBGT50,FIDELITY SUST RESEAR EN EUROPE UCITS ETF,FEUR:MILANO,ACTIVE ETF,"0,30%",Accumulating,EUR
1187,IE00BKSBGV72,FIDELITY SUST RESEAR ENH GLB UCITS ETF,FGLR:MILANO,ACTIVE ETF,"0,35%",Accumulating,EUR
1188,IE00BLRPN388,FIDELITY SUST RESEAR ENH EM EQ UCITS ETF,FEMR:MILANO,ACTIVE ETF,"0,50%",Accumulating,EUR
1189,IE00BNGFMX61,FIDELITY SUST RESEAR ENH JAPAN UCITS ETF,FJPR:MILANO,ACTIVE ETF,"0,30%",Accumulating,EUR
1190,IE00BNGFMY78,FIDELITY SUST RESER PAC EX-JAP UCITS ETF,FPXR:MILANO,ACTIVE ETF,"0,30%",Accumulating,EUR
1191,IE00BYV1Y969,FIDELITY US QUALITY INCOME UCITS ETF HDG,FUSU:MILANO,ETF,"0,35%",Accumulating,EUR
1192,IE00BYXVGZ48,FIDELITY GLB QUALITY INCOME UCITS ETF IN,FGQI:MILANO,ETF,"0,40%",Distributing,EUR
1193,IE00BYV1YH46,FIDELITY GLB QUAL INCOME UCITS ETF IN HD,FGEU:MILANO,ETF,"0,45%",Distributing,EUR
1194,IE00BYSX4176,FIDELITY EUROPE QUAL INCOME UCITS ETF IN,FEUI:MILANO,ETF,"0,30%",Distributing,EUR
1195,IE00BYSX4283,FIDELITY EUROPE QUALI INCOME UCITS ETF A,FEQD:MILANO,ETF,"0,30%",Accumulating,EUR
1196,IE00BYSX4739,FIDELITY EMER QUAL INCOME UCITS ETF INC,FEME:MILANO,ETF,"0,50%",Distributing,EUR
1197,IE00BYSX4846,FIDELITY EMER QUALITY INCOME UCITS ETF A,FEMI:MILANO,ETF,"0,50%",Accumulating,EUR
1198,IE00BYXVGX24,FIDELITY US QUALITY INCOME UCITS ETF INC,FUSD:MILANO,ETF,"0,30%",Distributing,EUR
1199,IE00BYXVGY31,FIDELITY US QUALITY INCOME UCITS ETF ACC,FUSA:MILANO,ETF,"0,30%",Accumulating,EUR
1200,IE00BM9GRM34,FIL SUST GLB CORP BOND PA MF UCITS ETF,FSMF:MILANO,ACTIVE ETF,"0,25%",Distributing,EUR
1201,IE00BM9GRP64,FIDELITY SUST USD EM BOND UCITS ETF,FSEM:MILANO,ACTIVE ETF,"0,45%",Distributing,EUR
1202,IE0000H445G8,VANECK NEW CHINA ESG UCITS ETF,CNEW:MILANO,ETF,"0,60%",Accumulating,EUR
1203,IE0002PG6CA6,VANECK RARE EARTH AND METALS UCITS ETF,REMX:MILANO,ETF,"0,59%",Accumulating,EUR
1204,LU2196472984,XTRACKERS S&P 500 SWAP UCITS ETF EUR H,XS5E:MILANO,ETF,"0,20%",Accumulating,EUR
1205,IE000COQKPO9,INVESCO NASDAQ-100 ESG UCITS ETF,NESG:MILANO,ETF,"0,25%",Accumulating,EUR
1206,IE00BL6K6H97,L&G INDIA INR GOVERNMENT BOND UCITS ETF,TIGR:MILANO,ETF,"0,39%",Distributing,EUR
1207,IE00B6YX5J02,SPDR BL CHINA TREAS UCITS ETF,CHNT:MILANO,ETF,"0,19%",Accumulating,EUR
1208,IE0000J0F3C5,JPM USD CORP BOND RES ENH UCITS ETF EURH,JRUE:MILANO,ACTIVE ETF,"0,19%",Accumulating,EUR
1209,IE0002EI5AG0,XTRACKERS S&P 500 EQUAL W UCITS ETF EURH,XDEE:MILANO,ETF,"0,30%",Accumulating,EUR
1210,IE00BLCHJ534,GLOBAL X US INFRASTRUC DEVELOP UCITS ETF,PAVE:MILANO,ETF,"0,47%",Accumulating,EUR
1211,IE00BLCHJB90,GLOBAL X ROBO & ARTIFIC INTELL UCITS ETF,BOTZ:MILANO,ETF,"0,50%",Accumulating,EUR
1212,IE00BLCHJT74,GLOBAL X INTERNET OF THINGS UCITS ETF,SNSR:MILANO,ETF,"0,60%",Accumulating,EUR
1213,IE00BLCHJZ35,GLOBAL X FINTECH UCITS ETF,FINX:MILANO,ETF,"0,60%",Accumulating,EUR
1214,IE00BM8R0N95,GLOBAL X GENOMICS & BIOTECHNOL UCITS ETF,GNOM:MILANO,ETF,"0,50%",Accumulating,EUR
1215,IE00BMH5XY61,GLOBAL X E-COMMERCE UCITS ETF,EBIZ:MILANO,ETF,"0,50%",Accumulating,EUR
1216,IE00BMH5Y871,GLOBAL X CYBERSECURITY UCITS ETF,BUG:MILANO,ETF,"0,50%",Accumulating,EUR
1217,IE00BMH5YF48,GLOBAL X CLOUD COMPUTING UCITS ETF,CLOU:MILANO,ETF,"0,55%",Accumulating,EUR
1218,IE00BMH5YL08,GLOBAL X CLEANTECH UCITS ETF,CTEK:MILANO,ETF,"0,50%",Accumulating,EUR
1219,IE00BMH5YR69,GLOBAL X AUTONOM & ELECTR VEHI UCITS ETF,DRVE:MILANO,ETF,"0,50%",Accumulating,EUR
1220,IE000FN81QD2,VANECK SMART HOME ACTIVE UCITS ETF,CAVE:MILANO,ACTIVE ETF,"0,85%",Accumulating,EUR
1221,IE000UU299V4,HSBC MSCI JAPAN CLIMAT PARIS A UCITS ETF,HPJP:MILANO,ETF,"0,18%",Accumulating,EUR
1222,IE00BLRPRQ96,RIZE DIGITAL PAYMENTS ECONOMY UCITS ETF,PMNT:MILANO,ETF,"0,45%",Accumulating,EUR
1223,IE00BMQ8YK98,ETC GROUP DIG ASS & BLOCKCHAIN UCITS ETF,KOIN:MILANO,ETF,"0,60%",Accumulating,EUR
1224,IE00BLCHJH52,GLOBAL X RENEW ENERGY PRODUCER UCITS ETF,RNRG:MILANO,ETF,"0,50%",Accumulating,EUR
1225,IE000I8KRLL9,ISHARES MSCI GLB SEMICONDUCTOR UCITS ETF,SEME:MILANO,ETF,"0,35%",Accumulating,EUR
1226,IE00BHZPJ908,ISHARES MSCI USA ESG ENHANCED UCITS ETF,EDME:MILANO,ETF,"0,07%",Accumulating,EUR
1227,IE00BN4GXL63,TABULA EUR IG BOND PARIS CLIMA UCITS ETF,COOL:MILANO,ETF,"0,25%",Accumulating,EUR
1228,IE0000UW95D6,JPM GBL RES EN IDX EQ ESG UCITS ETF EURH,JRGE:MILANO,ACTIVE ETF,"0,25%",Accumulating,EUR
1229,IE000TI21P14,INVESCO MSCI EUROP ESG CLIM PA UCITS ETF,PAEU:MILANO,ETF,"0,16%",Accumulating,EUR
1230,IE000RLUE8E9,INVESCO MSCI USA ESG CLIME PAR UCITS ETF,PAUS:MILANO,ETF,"0,09%",Accumulating,EUR
1231,IE000I8IKC59,INVESCO MSCI JPN ESG CLIMA PAR UCITS ETF,PAJP:MILANO,ETF,"0,19%",Accumulating,EUR
1232,IE000V93BNU0,INVESCO MSCI WRLD ESG CLIM PAR UCITS ETF,PAWD:MILANO,ETF,"0,19%",Accumulating,EUR
1233,IE00BKY4W127,WISDOMTREE BROAD COMMODI UCITS ETF USD A,PCOM:MILANO,ETF,"0,19%",Accumulating,EUR
1234,IE000DOZYQJ7,TABULA ASIA EXJP HY USD ESG UCITS ETF HD,TAEH:MILANO,ETF,"0,65%",Distributing,EUR
1235,IE000WF4FCJ3,FMQQ NXT FRONTIER INTRNT ECMMRCE ESG ETF,FMQQ:MILANO,ETF,"0,86%",Accumulating,EUR
1236,IE00BCHWNQ94,XTRACKERS MSCI WORLD ESG SCREE UCITS ETF,XDWY:MILANO,ETF,"0,19%",Distributing,EUR
1237,IE00BM67HJ62,XTRACKERS MSCI EM ESG SCREENED UCITS ETF,XDEX:MILANO,ETF,"0,18%",Accumulating,EUR
1238,IE00BPVLQD13,XTRACKERS MSCI JAPAN ESG SCREE UCITS ETF,XDNY:MILANO,ETF,"0,15%",Distributing,EUR
1239,LU0322253732,XTRACKERS MSCI EUROPE ESG SCRE UCITS ETF,XEUM:MILANO,ETF,"0,12%",Accumulating,EUR
1240,IE000O8KMPM1,WISDOMTREE BIOREVOLUTION UCITS ETF USD A,WDNA:MILANO,ETF,"0,45%",Accumulating,EUR
1241,IE00BKY81B71,HSBC BBG EUR SUSTAIN CORP BOND UCITS ETF,HEUC:MILANO,ETF,"0,18%",Accumulating,EUR
1242,IE000XGNMWE1,HSBC BBG GLB SUSTAIN AGGRE 1-3 UCITS ETF,HAGG:MILANO,ETF,"0,18%",Accumulating,EUR
